Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Arab World,ARB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,75.31875484,76.6544796,77.85548458,79.04554536,80.03416635,81.02576797,81.9658149,82.78718917,83.47573318,84.15742348,84.68334427,85.19274228,85.64421787,85.93256689,86.2323839,86.47859724,86.72268517,86.9379329,87.04077373,87.23553889,87.30706752
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,76.61107378,77.25362114,78.11157597,78.69106128,80.73614121,81.58623137,81.54022203,82.50815948,82.50368475,83.21298163,85.45900327,83.76443999,83.38698965,84.3134838,87.11486281,87.33266124,87.03958839,88.99261981,88.01535618,88.68188567,89.19506235,90.32465949,88.9107494,89.99994555,90.27773508
Arab World,ARB,Adolescent fertility rate (births per 1000 women ages 15-19),SP.ADO.TFRT,71.13964561,69.06829548,67.33237901,65.34886541,63.37309629,61.23987932,59.26088996,57.2691505,56.25427823,55.28152201,54.34604818,53.30940511,52.29773889,51.89782413,51.53838504,51.21296389,50.83960202,50.51953589,50.30529057,50.11920443,49.96689708,49.86696767,49.79106685,49.34535918,48.85399796,48.27973787,47.50473939,46.68711926,46.00272258,45.24536866,44.40661104
Arab World,ARB,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,34.55981064,33.84270859,34.0791893,32.8020401,33.99356079,33.20301819,31.6671505,30.72631073,29.98023987,28.84836006,27.7920208,27.00704956,25.99802017,25.07875061,24.00777054,22.9897995,22.77036095,22.4803009,21.77371979,20.48373032,20.34417915,20.33556938,19.06521034,21.60820961,20.43841934,19.49834061,18.65456009,18.45516968,17.22069931,16.36922073,16.8374691
Arab World,ARB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,34.26160565,34.67457716,33.84446781,33.61488734,32.68651395,32.02531667,31.37094571,30.6333458,30.04487648,30.2882688,29.48592381,28.69338845,28.6650361,28.64241255,27.67579226,26.83916524,26.25417007,25.40551823,24.28070111,23.11691125,22.71790444,21.84482713,21.69017137,21.4648574,20.82906768,20.31523213,19.7414036,18.60230756,17.97656579,
Arab World,ARB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,20.94683887,21.04311857,21.02023251,21.02513012,21.13378542,21.24108884,21.24160934,21.28283895,21.38195238,20.86646427,20.96669966,20.74848197,20.72150632,20.93138678,21.70962278,22.33781826,22.91413323,23.61172435,24.14364748,25.00640364,24.69820908,24.92357803,24.75167593,24.61225763,24.59567382,24.89740334,25.11445426,25.11112662,25.00552825,
Arab World,ARB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,44.79450041,44.28277313,45.13539706,45.35876621,46.17711782,46.73504414,47.38734626,48.08193676,48.57229441,48.84746233,49.54809827,50.55919518,50.61568086,50.42807871,50.61562735,50.82224738,50.8322251,50.98330755,51.57920418,51.87756628,52.5853961,53.23123531,53.55822101,53.92417872,54.57683883,54.78698496,55.1466423,56.29076098,57.02003474,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2892.697861,2061.480923,2033.922796,2017.897763,2068.7366,2196.934452,2371.40464,2501.000175,2381.946705,2579.069902,2890.16922,2768.446111,2725.554628,2948.572988,3430.913519,4120.758814,4770.610863,5419.599572,6660.069689,5708.709286,6556.987974,7016.136647,7479.254085,7465.455471,7414.312109,6359.900578,6177.227235,6272.949782,6635.381394,6562.969998,5724.28687
Arab World,ARB,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,,,,,,,,,,,,3.190120228,3.379119348,4.028441524,7.098259362,5.890503453,7.5921726,9.727603552,8.525547373,-1.701402043,-0.926944809,4.483725066,4.360237428,2.213227366,5.173679341,-0.384931748,2.774803192,3.821009938,1.63812064,2.568277382,-2.710048832
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0.000892639,0.002815605,0.014112855,0.038461262,0.135488159,0.270604169,0.615844606,1.165887243,1.590368591,2.72740392,3.686682404,7.081958009,8.464300594,11.6967073,14.22754325,18.59709615,21.56866715,25.87111301,27.75528178,31.09962115,34.24688156,37.9520195,41.86635892,43.36102836,48.39656005,54.48275057,61.44226911,68.86595791
Arab World,ARB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,79.01616819,79.34175224,79.68335772,80.11328836,80.55494283,81.16466822,81.79510471,82.37711099,83.02965452,83.66763425,84.28783361,84.88184633,85.45878721,86.0252094,86.58540786,87.1454263,87.68405375,88.09441208,88.47155691,88.81630402,89.14272869
Arab World,ARB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,,,73.30511996,73.56750464,74.16320743,74.54741976,74.9593473,75.57224801,76.21409083,76.83981671,77.52227479,78.19078822,78.83959371,79.46822279,80.04476983,80.6187982,81.19182068,81.76565227,82.34442491,82.78411385,83.16668783,83.47598699,83.81131139
Arab World,ARB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
